,appid,name,average_playtime,median_playtime,owners,price,playtime_forever
0,730,Counter-Strike: Global Offensive,22494,6502,50000000-100000000,0.0,1466
1,107410,Arma 3,18823,3621,2000000-5000000,29.99,550
2,108600,Project Zomboid,658,701,500000-1000000,9.99,33
3,203770,Crusader Kings II,1366,272,2000000-5000000,29.99,189
4,242760,The Forest,2417,1127,2000000-5000000,15.49,1340
5,251570,7 Days to Die,2953,574,2000000-5000000,18.99,2304
6,268910,Cuphead,620,441,1000000-2000000,14.99,2465
7,280790,Creativerse,3292,138,2000000-5000000,0.0,26
8,289070,Sid Meier’s Civilization® VI,3371,2390,2000000-5000000,49.99,13887
9,292030,The Witcher® 3: Wild Hunt,3068,2002,5000000-10000000,24.99,7030
10,298610,Ylands,457,457,100000-200000,13.0,303
11,304930,Unturned,3248,413,20000000-50000000,0.0,1127
12,346110,ARK: Survival Evolved,14154,1470,5000000-10000000,44.99,31
13,356190,Middle-earth™: Shadow of War™,1587,1265,1000000-2000000,34.99,5834
14,377160,Fallout 4,4822,2904,5000000-10000000,19.99,544
15,397900,Business Tour - Board Game with Online Multiplayer,584,279,1000000-2000000,0.0,22
16,427520,Factorio,10087,6880,1000000-2000000,21.0,2897
17,431960,Wallpaper Engine,1731,542,5000000-10000000,2.79,2656
18,444640,Bloons TD Battles,526,304,1000000-2000000,0.0,41
19,477160,Human: Fall Flat,348,245,2000000-5000000,11.99,1004
20,544920,Darwin Project,160,82,500000-1000000,0.0,81
21,588430,Fallout Shelter,1116,93,2000000-5000000,0.0,247
22,589590,Kindergarten,114,127,100000-200000,3.99,530
23,641990,The Escapists 2,674,950,500000-1000000,19.99,1594
24,674940,Stick Fight: The Game,584,184,2000000-5000000,3.99,405
25,714010,Aim Lab,40,54,200000-500000,0.0,132
26,755790,Ring of Elysium,736,124,2000000-5000000,0.0,0
27,788770,Meteor 60 Seconds!,41,46,200000-500000,0.0,49
28,823130,Totally Accurate Battlegrounds,478,47,1000000-2000000,3.99,192
29,824270,KovaaK's FPS Aim Trainer,0,0,20000-50000,7.19,154632
30,834910,ATLAS,2755,3575,1000000-2000000,23.79,1032
31,871720,Ultimate Custom Night,128,80,500000-1000000,0.0,313
32,945360,Among Us,0,0,0-20000,3.99,3455
33,960090,Bloons TD 6,2819,2819,200000-500000,6.99,3740
